course_id,course_name,course_type,credits,hours,college,difficulty_level,has_experiment
C0102,UI设计,专业选修,3,48,电子信息学院,4,False
C0103,商务礼仪,专业选修,1,16,化学学院,3,False
C0104,沟通技巧,专业选修,2,32,物理学院,2,False
C0105,领导力开发,专业选修,2,32,化学学院,3,False
C0106,项目管理,专业选修,2,32,计算机学院,3,False
C0107,质量管理,专业选修,1,16,外国语学院,3,False
C0108,科学研究方法,专业选修,2,32,计算机学院,2,False
C0109,专业前沿讲座,专业选修,1,16,数学学院,4,False
C0110,企业经营沙盘模拟,专业选修,1,16,土木工程学院,3,True
C0111,创业实战,专业选修,3,48,电子信息学院,3,True
C0112,中国传统文化,公共选修,2,32,化学学院,2,False
C0113,音乐鉴赏,公共选修,2,32,电子信息学院,3,False
C0114,美术鉴赏,公共选修,1,16,化学学院,1,False
C0115,影视鉴赏,公共选修,1,16,机械工程学院,3,False
C0116,书法艺术,公共选修,1,16,外国语学院,1,False
C0117,摄影基础,公共选修,2,32,数学学院,3,False
C0118,演讲与口才,公共选修,1,16,计算机学院,2,False
C0119,社交礼仪,公共选修,2,32,经济管理学院,1,False
C0120,逻辑学,公共选修,2,32,土木工程学院,2,False
C0121,哲学导论,公共选修,2,32,物理学院,2,False
C0122,天文学概论,公共选修,2,32,数学学院,1,False
C0123,生命科学导论,公共选修,1,16,电子信息学院,2,False
C0124,环境保护,公共选修,2,32,化学学院,2,False
C0125,健康教育,公共选修,2,32,计算机学院,3,False
C0126,营养学,公共选修,2,32,土木工程学院,2,False
C0127,经济学通识,公共选修,2,32,材料学院,2,False
C0128,法律基础,公共选修,2,32,土木工程学院,3,False
C0129,国际关系,公共选修,1,16,化学学院,2,False
C0130,军事科学,公共选修,2,32,材料学院,1,False
C0131,体育选项,公共选修,2,32,物理学院,1,False
